GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc
020200001011,Anchorage,Alaska,AK,Anchorage Municipality,"Anchorage Northeast, AK",29561,AK Congressional District (at Large),3234,3055.0,8.209273612599999,Forest,Google,0.5,-1,-1,0.34503870351006,0.223567921440262,0.515354925711342,0.041571194762684,0.122218095290585,0.0,0.0,0.818452380952381,0.450081833060556,0.621153091724067,0.000379003221527,0.026925186758818,0.412103174603174,-1.44,0.208102108768036,73,76.0,,0.334206219312602,0.115875613747954
020200001012,Anchorage,Alaska,AK,Anchorage Municipality,"Anchorage Northeast, AK",29561,AK Congressional District (at Large),1787,2545.0,6.1402811953,Forest,Google,0.5,-1,-1,0.401265999915227,0.176817288801572,0.404247254365555,0.095088408644401,0.279557136980903,0.137905048982668,1.0,0.402203856749311,0.286836935166994,0.220347246632203,0.000379003221527,0.026925186758818,0.412103174603174,-5.19,0.0,74,76.0,,0.156385068762279,0.130451866404715
020200001021,Anchorage,Alaska,AK,Anchorage Municipality,"Anchorage Northeast, AK",29561,AK Congressional District (at Large),669,595.0,1.5191788189,Forest,Google,0.5,-1,-1,0.394139421708163,0.00672268907563,0.0,0.16554054054054,0.486684341735586,0.0,0.0,1.211895910780669,0.547899159663866,1.0,0.0,0.0,0.761111111111111,-4.47,0.039955604883463,69,76.0,,0.235294117647059,0.312605042016807
020200001022,Anchorage,Alaska,AK,Anchorage Municipality,"Anchorage Northeast, AK",29561,AK Congressional District (at Large),1066,1888.0,2.7649259102,Forest,Google,0.5,-1,-1,0.460516595843847,0.261122881355932,0.604608138089506,0.204978813559322,0.602631709556543,0.005545286506469,0.040210902699918,0.676731793960924,0.403601694915254,0.484690290457018,0.0,0.0,0.761111111111111,0.41,0.310765815760266,68,76.0,,0.25635593220339,0.147245762711864
020200001023,Anchorage,Alaska,AK,Anchorage Municipality,"Anchorage Northeast, AK",29561,AK Congressional District (at Large),1509,1969.0,4.529688917100001,Forest,Google,0.5,-1,-1,0.376254116825797,0.080751650584053,0.175937416481948,0.187690742624618,0.55180528724778,0.011255411255411,0.081617107846616,0.467213114754098,0.318435754189944,0.282944683207599,0.0,0.0,0.761111111111111,0.13,0.295227524972253,71,76.0,,0.17877094972067,0.139664804469274
020200002011,Anchorage,Alaska,AK,Anchorage Municipality,"Anchorage Northeast, AK",29561,AK Congressional District (at Large),2609,2914.0,1.5585425726,Forest,Google,0.5,-1,-1,0.473062918824104,0.254975978037062,0.589999392171016,0.086822237474262,0.255254835795488,0.03323029366306,0.240965025633229,0.561629153269025,0.359643102264928,0.373857918707118,0.0,0.0,0.5625,10.65,0.879023307436182,63,76.0,,0.309883321894303,0.049759780370624
020200002012,Anchorage,Alaska,AK,Anchorage Municipality,"Anchorage Northeast, AK",29561,AK Congressional District (at Large),1660,2008.0,1.4869315784,Forest,Google,0.5,-1,-1,0.578997145229038,0.290338645418327,0.674042396587095,0.340139442231076,1.0,0.044530493707648,0.322906913388243,0.395413481584434,0.283366533864542,0.213808792083541,0.0,0.0,0.5625,11.97,0.952275249722531,51,76.0,,0.213645418326693,0.069721115537849
020200002021,Anchorage,Alaska,AK,Anchorage Municipality,"Anchorage Northeast, AK",29561,AK Congressional District (at Large),1303,1455.0,0.597868995,Forest,Google,0.5,-1,-1,0.65538126891327,0.427491408934708,1.0,0.202777777777778,0.596160728810802,0.0,0.0,0.572972972972973,0.36426116838488,0.384780886546381,0.014076159431027,1.0,0.338690476190476,12.83,1.0,37,76.0,,0.142955326460481,0.221305841924399
020200002022,Anchorage,Alaska,AK,Anchorage Municipality,"Anchorage Northeast, AK",29561,AK Congressional District (at Large),1853,2796.0,5.2729313069,Forest,Google,0.5,-1,-1,0.433325612208969,0.228898426323319,0.528023417049868,0.086552217453505,0.254460984841344,0.0,0.0,0.563758389261745,0.360515021459227,0.375908160766465,0.014076159431027,1.0,0.338690476190476,-3.47,0.095449500554939,73,76.0,,0.213519313304721,0.146995708154506
020200002023,Anchorage,Alaska,AK,Anchorage Municipality,"Anchorage Northeast, AK",29561,AK Congressional District (at Large),1625,848.0,1.141916768,Forest,Google,0.5,-1,-1,0.528968704913437,0.3125,0.726711127734922,0.0,0.0,0.024282560706402,0.176081738018552,0.579143389199255,0.366745283018868,0.390722382422861,0.014076159431027,1.0,0.338690476190476,7.5,0.704217536071032,53,76.0,,0.266509433962264,0.100235849056604
