GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc
010010201001,Prattville,Alabama,AL,Autauga County,"Montgomery, AL",254325,AL Congressional District 2,374,693.0,1.1442800301,Forest,Google,0.5,-1,-1,0.307570468248603,0.152958152958153,0.152958152958153,0.37950937950938,0.390546565043209,0.022222222222222,0.044444444444444,0.533185840707965,0.347763347763348,0.266592920353982,0.0,0.0,0.350563906551631,-1.42,0.409330985915493,99,90.0,,0.171717171717172,0.176046176046176
010010201002,Prattville,Alabama,AL,Autauga County,"Montgomery, AL",254325,AL Congressional District 2,1100,1098.0,3.3559579375,Forest,Google,0.5,-1,-1,0.272318072930702,0.192167577413479,0.192167577413479,0.163934426229508,0.168702094106429,0.026905829596412,0.053811659192825,0.673780487804878,0.402550091074681,0.336890243902439,0.0,0.0,0.350563906551631,-5.31,0.238116197183099,100,90.0,,0.255009107468124,0.147540983606557
010010202001,Prattville,Alabama,AL,Autauga County,"Montgomery, AL",254325,AL Congressional District 2,974,844.0,2.055244388,Forest,Google,0.5,-1,-1,0.384049247788409,0.601895734597156,0.601895734597156,0.439356435643564,0.452134139588455,0.032967032967033,0.065934065934066,0.75103734439834,0.428909952606635,0.37551867219917,0.0,0.0,0.400849174079263,-3.61,0.31294014084507,100,90.0,,0.281990521327014,0.146919431279621
010010202002,Prattville,Alabama,AL,Autauga County,"Montgomery, AL",254325,AL Congressional District 2,1081,1166.0,1.2632769116,Forest,Google,0.5,-1,-1,0.383534290597605,0.623499142367067,0.623499142367067,0.262004175365344,0.269623983597446,0.052991452991453,0.105982905982906,0.233862433862434,0.189536878216123,0.116931216931217,0.0,0.0,0.400849174079263,4.92,0.688380281690141,85,90.0,,0.084905660377358,0.104631217838765
010010203001,Prattville,Alabama,AL,Autauga County,"Montgomery, AL",254325,AL Congressional District 2,2374,2685.0,3.5765708001,Forest,Google,0.5,-1,-1,0.312532732565858,0.251024208566108,0.251024208566108,0.211918063314711,0.218081228467041,0.029722589167767,0.059445178335535,0.603942652329749,0.376536312849162,0.301971326164875,0.0,0.0,0.378848451036575,-0.64,0.443661971830986,98,90.0,,0.267039106145251,0.109497206703911
010010203002,Prattville,Alabama,AL,Autauga County,"Montgomery, AL",254325,AL Congressional District 2,839,892.0,1.4827176774,Forest,Google,0.5,-1,-1,0.431003219931179,0.526905829596413,0.526905829596413,0.60762331838565,0.625294690061295,0.0,0.0,0.943355119825708,0.48542600896861,0.471677559912854,0.0,0.0,0.378848451036575,2.27,0.571742957746479,92,90.0,,0.290358744394619,0.195067264573991
010010204001,Prattville,Alabama,AL,Autauga County,"Montgomery, AL",254325,AL Congressional District 2,766,733.0,0.9217209398,Forest,Google,0.5,-1,-1,0.336643996719563,0.032742155525239,0.032742155525239,0.17462482946794,0.179703403926739,0.0,0.0,1.019283746556474,0.504774897680764,0.509641873278237,0.032357043235704,0.285792015034228,0.260061731728874,2.29,0.57262323943662,95,90.0,,0.275579809004093,0.229195088676671
010010204002,Prattville,Alabama,AL,Autauga County,"Montgomery, AL",254325,AL Congressional District 2,1902,1655.0,1.7868947025,Forest,Google,0.5,-1,-1,0.351579176051654,0.109365558912387,0.109365558912387,0.232628398791541,0.239393877951026,0.00990099009901,0.01980198019802,0.795010845986985,0.442900302114804,0.397505422993492,0.032357043235704,0.285792015034228,0.260061731728874,3.93,0.644806338028169,90,90.0,,0.120845921450151,0.322054380664653
010010204003,Prattville,Alabama,AL,Autauga County,"Montgomery, AL",254325,AL Congressional District 2,867,742.0,0.7508551631,Forest,Google,0.5,-1,-1,0.360703911268276,0.180592991913747,0.180592991913747,0.353099730458221,0.363368850135977,0.042986425339367,0.085972850678733,0.386915887850467,0.278975741239892,0.193457943925234,0.032357043235704,0.285792015034228,0.260061731728874,4.24,0.658450704225352,90,90.0,,0.110512129380054,0.168463611859838
010010204004,Prattville,Alabama,AL,Autauga County,"Montgomery, AL",254325,AL Congressional District 2,535,672.0,1.1170308998,Forest,Google,0.5,-1,-1,0.350842681396612,0.09672619047619,0.09672619047619,0.311011904761905,0.320056993714712,0.041791044776119,0.083582089552239,0.861495844875346,0.462797619047619,0.430747922437673,0.032357043235704,0.285792015034228,0.260061731728874,0.05,0.474031690140845,99,90.0,,0.212797619047619,0.25
010010205011,Prattville,Alabama,AL,Autauga County,"Montgomery, AL",254325,AL Congressional District 2,2390,1847.0,4.314418735899999,Forest,Google,0.5,-1,-1,0.351776483592613,0.364374661613427,0.364374661613427,0.243096913914456,0.250166846533892,0.0,0.0,0.391861341371515,0.281537628586898,0.195930670685757,0.0,0.0,0.245940768671285,9.77,0.901848591549296,80,90.0,,0.162966973470493,0.118570655116405
