GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc
080010078011,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,1403,1696.0,0.3208495596,Grassland,Google,0.3,-1,-1,0.652135324124542,0.787146226415094,0.787146226415094,0.736401673640167,0.743437358420169,0.12291933418694,0.222117393355347,0.544626593806922,0.352594339622642,0.272313296903461,0.385737009544008,1.0,0.546226882494944,4.81,0.723144696712979,76,87.0,,0.330188679245283,0.022405660377358
080010078012,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,2533,2331.0,0.3201793135,Grassland,Google,0.3,-1,-1,0.653038054281748,0.825396825396825,0.825396825396825,0.698453608247423,0.705126731893099,0.054634146341463,0.09872486093282,0.822517591868647,0.451308451308451,0.411258795934324,0.385737009544008,1.0,0.546226882494944,4.56,0.714672992206032,79,87.0,D,0.377949377949378,0.073359073359073
080010078021,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,1419,1296.0,0.3194360262,Grassland,Google,0.3,-1,-1,0.578291158099409,0.831018518518518,0.831018518518518,0.5,0.504777070063694,0.131882202304737,0.238313453287508,0.309090909090909,0.236111111111111,0.154545454545455,0.279671259366691,0.725030921189799,0.502548044821885,6.01,0.763808878346323,83,87.0,,0.179012345679012,0.057098765432099
080010078022,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,1185,1685.0,0.1579278035,Grassland,Google,0.3,-1,-1,0.588741942784731,0.911572700296736,0.911572700296736,0.483928571428571,0.488552092811647,0.073260073260073,0.132382237645395,0.623314065510597,0.383976261127596,0.311657032755299,0.279671259366691,0.725030921189799,0.502548044821885,5.0,0.729583192138258,76,87.0,,0.286646884272997,0.097329376854599
080010078023,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,1289,1617.0,0.16004686,Grassland,Google,0.3,-1,-1,0.5849070495934,0.819418676561534,0.819418676561534,0.523191094619666,0.528189735651064,0.0,0.0,0.8046875,0.445887445887446,0.40234375,0.279671259366691,0.725030921189799,0.502548044821885,6.9,0.793968146391054,77,87.0,,0.363017934446506,0.08286951144094
080010079001,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,1702,1816.0,0.5842776648,Grassland,Google,0.3,-1,-1,0.428018742103556,0.619493392070485,0.619493392070485,0.287995594713656,0.290747144981621,0.021008403361345,0.03796255344243,0.550811272416738,0.355176211453745,0.275405636208369,0.133432724562057,0.345916314122392,0.364652885916357,1.68,0.617078956286005,86,87.0,,0.275881057268722,0.079295154185022
080010079002,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,538,463.0,0.4000740998,Grassland,Google,0.3,-1,-1,0.435103283877363,0.695464362850972,0.695464362850972,0.244060475161987,0.246392263141242,0.0,0.0,0.45141065830721,0.311015118790497,0.225705329153605,0.133432724562057,0.345916314122392,0.364652885916357,4.96,0.728227719417147,76,87.0,,0.311015118790497,0.0
080010079003,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,1175,1058.0,0.2847609826,Grassland,Google,0.3,-1,-1,0.427817112953603,0.66351606805293,0.66351606805293,0.326086956521739,0.329202436998061,0.038699690402477,0.069931019499212,0.262529832935561,0.207939508506616,0.13126491646778,0.133432724562057,0.345916314122392,0.364652885916357,2.51,0.645205015249068,91,87.0,,0.136105860113421,0.071833648393195
080010079004,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,2075,2412.0,0.3678067266,Grassland,Google,0.3,-1,-1,0.555351057058207,0.879767827529022,0.879767827529022,0.716417910447761,0.72326266755395,0.134446397188049,0.242946998427528,0.720399429386591,0.418739635157546,0.360199714693295,0.133432724562057,0.345916314122392,0.364652885916357,1.91,0.624872924432396,87,87.0,D,0.389303482587065,0.029436152570481
080010080001,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,933,597.0,0.4069074895,Grassland,Google,0.3,-1,-1,0.433458654614245,0.448911222780569,0.448911222780569,0.383015597920277,0.386674982613783,0.0,0.0,0.919614147909968,0.479061976549414,0.459807073954984,0.063536463536463,0.164714460796935,0.460467367488228,3.33,0.672992206031854,83,87.0,,0.338358458961474,0.14070351758794
080010080002,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,1539,908.0,0.3258081689,Grassland,Google,0.3,-1,-1,0.493061958089588,0.765418502202643,0.765418502202643,0.611233480176211,0.617073290496366,0.021739130434783,0.039282990083905,0.595782073813708,0.373348017621145,0.297891036906854,0.063536463536463,0.164714460796935,0.460467367488228,4.49,0.712300914944087,86,87.0,,0.33920704845815,0.034140969162995
080010080003,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,961,855.0,0.3071058911,Grassland,Google,0.3,-1,-1,0.467986329135039,0.726315789473684,0.726315789473684,0.639766081871345,0.645878496666294,0.0,0.0,0.383495145631068,0.27719298245614,0.191747572815534,0.063536463536463,0.164714460796935,0.460467367488228,3.33,0.672992206031854,90,87.0,,0.2,0.07719298245614
080010080004,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,1393,1024.0,0.362602426,Grassland,Google,0.25,-1,-1,0.389170857397461,0.4580078125,0.4580078125,0.119140625,0.120278911226115,0.0,0.0,0.753424657534247,0.4296875,0.376712328767123,0.063536463536463,0.164714460796935,0.460467367488228,3.21,0.668925787868519,90,87.0,,0.2783203125,0.1513671875
080010080005,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,891,1024.0,0.2468164338,Grassland,Google,0.3,-1,-1,0.446414636185366,0.7109375,0.7109375,0.115234375,0.116335340366242,0.136042402826855,0.245831008616949,0.787085514834206,0.4404296875,0.393542757417103,0.063536463536463,0.164714460796935,0.460467367488228,1.25,0.602507624534056,88,87.0,,0.0673828125,0.373046875
080010080006,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,1058,1107.0,0.3070839565,Grassland,Google,0.3,-1,-1,0.460254608172847,0.775067750677507,0.775067750677507,0.284552845528455,0.287271503288281,0.051724137931034,0.093466424682395,0.713622291021672,0.416440831074977,0.356811145510836,0.063536463536463,0.164714460796935,0.460467367488228,3.07,0.664181633344629,91,87.0,,0.330623306233062,0.085817524841915
080010081001,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,1378,1538.0,2.7091670503,Grassland,Google,0.3,-1,-1,0.382348417148246,0.483094928478544,0.483094928478544,0.461979913916786,0.466393734750386,0.029540481400438,0.05338016814465,0.175840978593272,0.149544863459038,0.087920489296636,0.012777404169469,0.033124651908753,0.384904602303864,3.75,0.687224669603524,80,87.0,,0.060468140442133,0.089076723016905
080010082001,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,2204,2327.0,0.9451077345,Grassland,Google,0.3,-1,-1,0.413559039614992,0.611516974645466,0.611516974645466,0.221505376344086,0.223621669748647,0.05732946298984,0.103595345402694,0.500322372662798,0.333476579286635,0.250161186331399,0.098011137629276,0.254087980163319,0.399740244938528,1.06,0.596069129108777,86,87.0,,0.237215298667813,0.096261280618822
080010082002,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,2487,3201.0,1.3106823427,Grassland,Google,0.3,-1,-1,0.46661608149387,0.822243049047173,0.822243049047173,0.315213995626367,0.318225594310695,0.059360730593607,0.107265881598975,0.621580547112462,0.38331771321462,0.310790273556231,0.098011137629276,0.254087980163319,0.399740244938528,2.33,0.639105388004066,86,87.0,,0.336144954701656,0.047172758512965
080010082003,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,1830,1364.0,2.1993220181,Grassland,Google,0.3,-1,-1,0.408131142312266,0.719208211143695,0.719208211143695,0.031144781144781,0.031442342748075,0.017770597738287,0.032111781877958,0.428272251308901,0.299853372434018,0.21413612565445,0.098011137629276,0.254087980163319,0.399740244938528,5.48,0.745848864791596,79,87.0,,0.225806451612903,0.074046920821114
080010083081,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,1454,1267.0,3.0579109395,Grassland,Google,0.3,-1,-1,0.428744526867405,0.698500394632991,0.698500394632991,0.205998421468035,0.207966559252761,0.008183306055646,0.014787377609326,0.501184834123223,0.333859510655091,0.250592417061611,0.087093779015784,0.225785384500027,0.433075232243176,4.9,0.726194510335479,78,87.0,,0.197316495659037,0.136543014996054
080010083082,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,2448,2297.0,0.6365907052,Grassland,Google,0.3,-1,-1,0.508162401819067,0.86634740966478,0.86634740966478,0.528515454941228,0.533564965657227,0.076568265682657,0.138360199391468,0.594031922276197,0.372659991292991,0.297015961138099,0.087093779015784,0.225785384500027,0.433075232243176,3.55,0.680447305997967,83,87.0,,0.335219851980845,0.037440139312146
080010083083,Aurora,Colorado,CO,Adams County,"Denver--Aurora, CO",2688920,CO Congressional District 6,2812,2263.0,0.6165865962,Grassland,Google,0.3,-1,-1,0.517300959885781,0.836500220945647,0.836500220945647,0.637207247017234,0.643295214345424,0.038288288288288,0.069187608661293,0.82794830371567,0.452938577110031,0.413974151857835,0.087093779015784,0.225785384500027,0.433075232243176,1.88,0.623856319891562,78,87.0,,0.377817057003977,0.075121520106054
