GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc
090010101011,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,53,1539.0,0.2179738053,Forest,Google,0.5,-1,-1,0.302319683947018,0.067576348278103,0.067576348278103,0.162443144899285,0.162443144899285,0.052325581395349,0.102585679314565,1.490291262135922,0.598440545808967,0.745145631067961,0.0146537461593,0.03799750457586,0.14915792498306,-1.11,0.308691308691309,100,93.0,,0.293047433398311,0.305393112410656
090010101014,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1615,1299.0,3.8553290667,Forest,Google,0.5,-1,-1,0.294241832507797,0.130100076982294,0.130100076982294,0.157043879907621,0.157043879907621,0.089506172839506,0.175479207277453,0.910294117647059,0.476520400307929,0.455147058823529,0.0146537461593,0.03799750457586,0.14915792498306,2.78,0.405844155844156,100,93.0,,0.211701308698999,0.26481909160893
090010101015,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,110,1359.0,0.486130673,Forest,Google,0.5,-1,-1,0.2553951766333,0.149374540103017,0.149374540103017,0.058731401722788,0.058731401722788,0.024817518248175,0.048655397618133,0.518435754189944,0.341427520235467,0.259217877094972,0.0146537461593,0.03799750457586,0.14915792498306,6.77,0.505494505494506,100,93.0,,0.195732155997057,0.145695364238411
090010101021,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,772,1628.0,3.1281995027,Forest,Google,0.5,-1,-1,0.242465153064276,0.186732186732187,0.186732186732187,0.066339066339066,0.066339066339066,0.020380434782609,0.039956378718535,0.76,0.431818181818182,0.38,0.0,0.0,0.077392312178888,0.85,0.357642357642358,100,93.0,,0.340909090909091,0.090909090909091
090010101022,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,974,1356.0,4.909275113,Forest,Google,0.5,-1,-1,0.240214934713674,0.067109144542773,0.067109144542773,0.008849557522124,0.008849557522124,0.072968490878939,0.143056646591603,0.87551867219917,0.466814159292035,0.437759336099585,0.0,0.0,0.077392312178888,0.8,0.356393606393606,100,93.0,,0.297935103244838,0.168879056047198
090010102011,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,805,1120.0,3.008495089,Forest,Google,0.5,-1,-1,0.250387111810722,0.109821428571429,0.109821428571429,0.03125,0.03125,0.063492063492063,0.124477861319966,0.809369951534733,0.447321428571429,0.404684975767367,0.0,0.0,0.136056657260243,1.08,0.363386613386613,100,93.0,,0.28125,0.166071428571429
090010102012,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1062,1069.0,3.6780216155,Forest,Google,0.5,-1,-1,0.290796754355489,0.305893358278765,0.305893358278765,0.10289990645463,0.10289990645463,0.025445292620865,0.04988616579617,0.912343470483005,0.477081384471469,0.456171735241503,0.0,0.0,0.136056657260243,3.87,0.433066933066933,100,93.0,,0.322731524789523,0.154349859681946
090010102013,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1344,1312.0,3.2110699281,Forest,Google,0.5,-1,-1,0.265817801884252,0.173018292682927,0.173018292682927,0.071551724137931,0.071551724137931,0.0,0.0,0.996955859969559,0.499237804878049,0.498477929984779,0.0,0.0,0.136056657260243,2.97,0.410589410589411,100,93.0,,0.224085365853659,0.27515243902439
090010102021,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1033,1092.0,3.2352886253,Forest,Google,0.5,-1,-1,0.313050613617469,0.301282051282051,0.301282051282051,0.022893772893773,0.022893772893773,0.037362637362637,0.073250433776749,1.206060606060606,0.546703296703297,0.603030303030303,0.094193548387097,0.244246061515379,0.100419643699555,-0.98,0.311938061938062,100,93.0,,0.322344322344322,0.224358974358974
090010102022,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,2559,2591.0,2.5317805298,Forest,Google,0.5,-1,-1,0.332211624893493,0.300270165959089,0.300270165959089,0.235430335777692,0.235430335777692,0.101694915254237,0.199375557537913,0.682467532467532,0.405634890003859,0.341233766233766,0.094193548387097,0.244246061515379,0.100419643699555,1.95,0.385114885114885,100,93.0,,0.258973369355461,0.146661520648398
090010102023,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1458,1251.0,1.6539303059,Forest,Google,0.5,-1,-1,0.30022033687917,0.191047162270184,0.191047162270184,0.040518638573744,0.040518638573744,0.033663366336634,0.065997915581032,0.979430379746835,0.49480415667466,0.489715189873418,0.094193548387097,0.244246061515379,0.100419643699555,3.56,0.425324675324675,100,93.0,A,0.338928856914468,0.155875299760192
090010102024,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,854,809.0,2.4253833634,Forest,Google,0.5,-1,-1,0.287710835008416,0.328800988875155,0.328800988875155,0.048207663782447,0.048207663782447,0.019867549668874,0.038950853956082,0.681912681912682,0.405438813349815,0.340956340956341,0.094193548387097,0.244246061515379,0.100419643699555,0.88,0.358391608391608,100,93.0,,0.257107540173053,0.148331273176761
090010103001,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,758,832.0,1.0459100352,Forest,Google,0.5,-1,-1,0.249852020952941,0.150240384615385,0.150240384615385,0.0,0.0,0.0,0.0,0.91264367816092,0.477163461538462,0.45632183908046,0.0,0.0,0.085177271050803,5.5,0.473776223776224,100,93.0,,0.347355769230769,0.129807692307692
090010103002,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1877,2016.0,5.269456434,Forest,Google,0.5,-1,-1,0.21695383654066,0.096230158730159,0.096230158730159,0.020885131775236,0.020885131775236,0.0,0.0,0.652459016393443,0.39484126984127,0.326229508196721,0.0,0.0,0.085177271050803,1.79,0.381118881118881,100,93.0,,0.170138888888889,0.224702380952381
090010103003,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1735,1289.0,3.2647637167,Forest,Google,0.5,-1,-1,0.271138027852162,0.204034134988363,0.204034134988363,0.059736229635376,0.059736229635376,0.123376623376623,0.241883116883117,0.619346733668342,0.382467028704422,0.309673366834171,0.0,0.0,0.085177271050803,3.77,0.430569430569431,100,93.0,,0.21877424359969,0.163692785104732
090010104001,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1201,1465.0,1.1051576565,Forest,Google,0.5,-1,-1,0.253322201885477,0.099658703071672,0.099658703071672,0.08259385665529,0.08259385665529,0.076124567474048,0.149244217810963,0.425097276264591,0.298293515358362,0.212548638132296,0.004754937820044,0.012329664347323,0.164852213368557,5.4,0.471278721278721,100,93.0,,0.167918088737201,0.13037542662116
090010104002,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1140,745.0,0.3054804902,Forest,Google,0.4,-1,-1,0.298865448938396,0.103355704697986,0.103355704697986,0.190604026845638,0.190604026845638,0.037783375314861,0.074075301604136,0.689342403628118,0.408053691275168,0.344671201814059,0.004754937820044,0.012329664347323,0.164852213368557,12.83,0.656843156843157,99,93.0,,0.30738255033557,0.100671140939597
090010104003,Greenwich,Connecticut,CT,Fairfield County,"Bridgeport--Stamford, CT--NY",863653,CT Congressional District 4,1156,977.0,0.2634757027,Forest,Google,0.4,-1,-1,0.329937613703476,0.162743091095189,0.162743091095189,0.194472876151484,0.194472876151484,0.186968838526912,0.366557328164604,0.387784090909091,0.27942681678608,0.193892045454545,0.004754937820044,0.012329664347323,0.164852213368557,14.3,0.693556443556444,92,93.0,,0.09007164790174,0.18935516888434
