GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc
410019502001,Baker City,Oregon,OR,Baker County,"Baker City, OR",9768,OR Congressional District 2,844,1115.0,1.236550427,Forest,Google,0.5,-1,-1,0.398635565572643,0.085201793721973,0.117004546586946,0.302242152466368,0.39047736149284,0.104910714285714,0.313579277864992,1.042124542124542,0.510313901345292,0.538626167839651,0.001628134158255,0.011928708732051,0.468208955223881,-1.53,0.482896047824643,67,71.0,,0.295964125560538,0.214349775784753
410019502002,Baker City,Oregon,OR,Baker County,"Baker City, OR",9768,OR Congressional District 2,1223,1135.0,1.0095398936,Forest,Google,0.4,-1,-1,0.393472930271878,0.100440528634361,0.137931350954479,0.446126447016919,0.576366587194439,0.033771106941839,0.100942209760221,0.96027633851468,0.489867841409692,0.496322601928936,0.001628134158255,0.011928708732051,0.468208955223881,-1.29,0.490866821653936,78,71.0,,0.215859030837004,0.274008810572687
410019502003,Baker City,Oregon,OR,Baker County,"Baker City, OR",9768,OR Congressional District 2,887,1082.0,1.0043210447,Forest,Google,0.5,-1,-1,0.454576520806636,0.036968576709797,0.050767611419182,0.595194085027726,0.768952358237434,0.209580838323353,0.626439428834638,0.547925608011445,0.353974121996303,0.283197505264342,0.001628134158255,0.011928708732051,0.468208955223881,0.44,0.548322816340086,62,71.0,,0.147874306839187,0.206099815157116
410019503001,Baker City,Oregon,OR,Baker County,"Baker City, OR",9768,OR Congressional District 2,761,1014.0,1.1576908332,Forest,Google,0.5,-1,-1,0.405998169305228,0.091715976331361,0.125950238330046,0.337221633085896,0.435668593712585,0.0,0.0,1.011904761904762,0.502958579881657,0.523006955591225,0.0,0.0,0.749029850746269,0.38,0.546330122882763,66,71.0,,0.361932938856016,0.141025641025641
410019503002,Baker City,Oregon,OR,Baker County,"Baker City, OR",9768,OR Congressional District 2,792,1171.0,0.5594886773,Forest,Google,0.5,-1,-1,0.421948216628229,0.095644748078565,0.131345478698169,0.433848797250859,0.560504655803126,0.0,0.0,1.132969034608379,0.531169940222032,0.585579501033544,0.0,0.0,0.749029850746269,-1.69,0.477582198605115,67,71.0,,0.217762596071734,0.313407344150299
410019504001,Baker City,Oregon,OR,Baker County,"Baker City, OR",9768,OR Congressional District 2,1474,1663.0,2.5650500664,Forest,Google,0.5,-1,-1,0.410069057295409,0.095610342754059,0.131298231108439,0.341226472374013,0.440842587696104,0.098240469208211,0.293641842028939,1.113087674714104,0.526758869512928,0.575303741987065,0.0,0.0,0.372089552238806,1.95,0.598472268349386,64,71.0,,0.223090799759471,0.303668069753458
410019504002,Baker City,Oregon,OR,Baker County,"Baker City, OR",9768,OR Congressional District 2,733,500.0,0.5655692989,Forest,Google,0.4,-1,-1,0.350157445075314,0.198,0.27190625,0.306,0.395332258064516,0.075949367088608,0.227013492836278,0.373626373626374,0.272,0.193110260525991,0.0,0.0,0.372089552238806,-1.43,0.486217203586848,82,71.0,,0.06,0.212
410019504003,Baker City,Oregon,OR,Baker County,"Baker City, OR",9768,OR Congressional District 2,862,666.0,0.4704918785,Forest,Google,0.4,-1,-1,0.314624826207523,0.01051051051051,0.014433704537871,0.378378378378378,0.488840453356582,0.0,0.0,0.62043795620438,0.382882882882883,0.32067579758878,0.0,0.0,0.372089552238806,-1.82,0.473264696114248,85,71.0,,0.231231231231231,0.151651651651652
410019505001,Baker City,Oregon,OR,Baker County,"Baker City, OR",9768,OR Congressional District 2,1308,1619.0,1.6727513368,Forest,Google,0.5,-1,-1,0.306799745069913,0.095120444718962,0.130625471827603,0.170475602223595,0.220243479646935,0.027096774193548,0.080992555831265,0.948255114320096,0.486720197652872,0.490109384929488,0.0,0.0,0.239776119402985,-2.62,0.446695450016606,75,71.0,,0.242742433600988,0.243977764051884
410019505002,Baker City,Oregon,OR,Baker County,"Baker City, OR",9768,OR Congressional District 2,884,960.0,1.3469309281,Forest,Google,0.5,-1,-1,0.363408160760174,0.313541666666667,0.43057544849537,0.352362204724409,0.455229235458471,0.028112449799197,0.084028421377819,0.385281385281385,0.278125,0.199134199134199,0.0,0.0,0.239776119402985,3.2,0.639986715376951,67,71.0,,0.10625,0.171875
